Country Name,Time,Value
Norway,2010,18.8113525385332
Norway,2011,18.6280832018297
Norway,2012,18.4415330806328
Norway,2013,18.2891679131092
Norway,2014,18.1340056585098
Norway,2015,17.9809282529036
Norway,2016,17.8728998929141
Norway,2017,17.7817532492452
Norway,2018,17.6387642308259
Norway,2019,17.4376307856202
Canada,2010,16.5629523390842
Canada,2011,16.4219828983574
Canada,2012,16.327506299947
Canada,2013,16.2714380359575
Canada,2014,16.2409277800845
Canada,2015,16.2326789820677
Canada,2016,16.2216897081515
Canada,2017,16.1718572232365
Canada,2018,16.0849877885792
Canada,2019,15.9834514706633
Singapore,2010,14.133474912616
Singapore,2011,13.7463459327136
Singapore,2012,13.4010013905211
Singapore,2013,13.1066177818821
Singapore,2014,12.8770131369208
Singapore,2015,12.6825690982427
Singapore,2016,12.5211872971862
Singapore,2017,12.4248348769561
Singapore,2018,12.3293830835908
Singapore,2019,12.2130675867847
Kenya,2010,43.6258242216111
Kenya,2011,43.4305177634901
Kenya,2012,43.1708649113182
Kenya,2013,42.8390273807152
Kenya,2014,42.4434095606629
Kenya,2015,41.9989362164362
Kenya,2016,41.5236216637636
Kenya,2017,41.0136025385137
Kenya,2018,40.4529458304285
Kenya,2019,39.868889076487
Finland,2010,16.5570849788765
Finland,2011,16.4866697684829
Finland,2012,16.4425320672634
Finland,2013,16.4222521825031
Finland,2014,16.401937570903
Finland,2015,16.3570111050433
Finland,2016,16.2879910704619
Finland,2017,16.198971533637
Finland,2018,16.069177706368
Finland,2019,15.876109406441
Italy,2010,14.0360499687746
Italy,2011,14.0068552515581
Italy,2012,13.9714989786725
Italy,2013,13.9177429383585
Italy,2014,13.8275522315507
Italy,2015,13.7068661763151
Italy,2016,13.5548619804282
Italy,2017,13.3921351432526
Italy,2018,13.2174935892537
Italy,2019,13.0238937094704
